ID,Tipo,SKU,Nombre,Publicado,"¿Está destacado?","Visibilidad en el catálogo","Descripción corta",Descripción,"Día en que empieza el precio rebajado","Día en que termina el precio rebajado","Estado del impuesto","Clase de impuesto","¿En inventario?",Inventario,"Cantidad de bajo inventario","¿Permitir reservas de productos agotados?","¿Vendido individualmente?","Peso (kg)","Longitud (cm)","Ancho (cm)","Altura (cm)","¿Permitir valoraciones de clientes?","Nota de compra","Precio rebajado","Precio normal",Categorías,Etiquetas,"Clase de envío",Imágenes,"Límite de descargas","Días de caducidad de la descarga",Superior,"Productos agrupados","Ventas dirigidas","Ventas cruzadas","URL externa","Texto del botón",Posición,"Nombre del atributo 1","Valor(es) del atributo 1","Atributo visible 1","Atributo global 1"
619,variation,07503050663858,"CHURRO MIX NAT (MEZCLA) - 1 kg",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,170,,,,,,,id:617,,,,,,2,GRAMOS,"1 kg",,0
624,variable,,"CHURRO AMARANTO / AJONJOLI NAT",1,0,visible,,,,,taxable,,1,4,,0,0,,,,,1,,,,Mixes,,,http://lasdeliciasdelcampo.com/wp-content/uploads/2024/02/28.png,,,,,,,,,0,GRAMOS,"200 gr, 800 gr",1,0
625,variation,07503050663025,"CHURRO AMARANTO / AJONJOLI NAT - 200 gr",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,25,,,,,,,id:624,,,,,,1,GRAMOS,"200 gr",,0
626,variation,07503050663865,"CHURRO AMARANTO / AJONJOLI NAT - 800 gr",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,110,,,,,,,id:624,,,,,,2,GRAMOS,"800 gr",,0
628,variable,,"CHURRO AMARANTO / AJONJOLI CHILE",1,0,visible,,,,,taxable,,0,0,,0,0,,,,,0,,,,Mixes,,,http://lasdeliciasdelcampo.com/wp-content/uploads/2024/02/13.png,,,,,,,,,0,GRAMOS,"200 gr, 800 gr",1,0
629,variation,07503050663032,"CHURRO AMARANTO / AJONJOLI CHILE - 200 gr",1,0,visible,,,,,taxable,parent,0,,,0,0,,,,,0,,,25,,,,,,,id:628,,,,,,1,GRAMOS,"200 gr",,0
630,variation,07503050663872,"CHURRO AMARANTO / AJONJOLI CHILE - 800 gr",1,0,visible,,,,,taxable,parent,0,,,0,0,,,,,0,,,110,,,,,,,id:628,,,,,,2,GRAMOS,"800 gr",,0
631,variable,,"CHURRO CHIPOTLE",1,0,visible,,,,,taxable,,1,6,,0,0,,,,,0,,,,Mixes,,,"http://lasdeliciasdelcampo.com/wp-content/uploads/2024/02/Delicias-del-campo-prodcutos-1.png, http://lasdeliciasdelcampo.com/wp-content/uploads/2024/02/CHURRO-CHIPOTLE.png",,,,,,,,,0,GRAMOS,"200 gr, 800 kg",1,0
632,variation,07503050663049,"CHURRO CHIPOTLE - 200 gr",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,25,,,,,,,id:631,,,,,,1,GRAMOS,"200 gr",,0
633,variation,07503050663889,"CHURRO CHIPOTLE - 800 kg",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,110,,,,,,,id:631,,,,,,2,GRAMOS,"800 kg",,0
637,variable,,"FRUTA MIX DESHIDRATADA (MEZCLA) CUBOS",1,0,visible,,,,,taxable,,1,7,,0,0,,,,,0,,,,"Frutos secos",,,"http://lasdeliciasdelcampo.com/wp-content/uploads/2024/02/273.png, http://lasdeliciasdelcampo.com/wp-content/uploads/2024/02/FRUTA-MIX-DESHIDRATADA.png",,,,,,,,,0,GRAMOS,"200 gr, 1 kg",1,0
638,variation,07503050663223,"FRUTA MIX DESHIDRATADA (MEZCLA) CUBOS - 200 gr",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,35,,,,,,,id:637,,,,,,1,GRAMOS,"200 gr",,0
639,variation,07503050668068,"FRUTA MIX DESHIDRATADA (MEZCLA) CUBOS - 1 kg",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,175,,,,,,,id:637,,,,,,2,GRAMOS,"1 kg",,0
